0,0.6,90
0,1.2,90
0,1.8,90
0,2.4,90
0,3,90
0,3.6,90
0,4.2,90
0,4.8,90
0,5.4,90
0,6,90
0,6.6,100
0,7.2,110
0,7.8,120
0,8.4,130
0,9,130
0,9.6,130
0,10.2,130
0,10.8,130
0,11.4,130
0,12,130
0,12.6,130
0,13.2,130
0,13.8,130
0,14.4,130
0,15,130
0,15.6,120
0,16.2,110
0,16.8,100
0,17.4,90
0,18,90
0,18.6,90
0,19.2,90
0,19.8,90
0,20.4,90
0,21,90
0,21.6,90
0,22.2,90
0,22.8,90
0,23.4,90
0,24,90
0,24.6,90
0,25.2,90
0,25.8,90
0,26.4,90
-0.3,26.7,101.25
-0.6,27,112.5
-0.9,27.3,123.75
-1.2,27.6,135
-1.5,27.9,146.25
-1.8,28.2,157.5
-2.1,28.5,168.75
-2.4,28.8,180
